Employee_ID,Age,Gender,Marital_Status,Education_Level,Department,Job_Title,Hire_Date,Years_at_Company,Years_in_Current_Role,Contract_Type,TechniqueSkill,RemoteWork,Evaluation_Period,Performance_Score,ProjectType,ProjectSuccessRate,Salary,Promotion_Within_Last_2_Years,Training_Recommendation,EmpEnvironmentSatisfaction,EmpJobSatisfaction,BurnoutRiskLevel,Attrition
E0001,32,Female,Single,Bachelor,HR,HR Executive,3/30/2011,14,17,Full-time,"Azure, Docker",Yes,Q1/2025,3.7,Cybersecurity Implementation,63.4,50,No,No,5,2,Medium,No
E0002,36,Female,Single,Bachelor,Sales,Sales Executive,12/25/2013,12,15,Part-time,"Vue.js, Angular, C#, React, NoSQL",Yes,Q1/2025,4.0,DevOps Automation,65.1,41,No,No,1,4,Medium,No
E0003,27,Female,Single,Bachelor,QA,Test Analyst,2/24/2022,3,3,Full-time,"GCP, React",No,Q1/2025,3.5,API Development,57.3,19,No,No,3,2,Low,No
E0004,37,Male,Single,Master,QA,QA Engineer,10/12/2015,10,13,Full-time,"C#, Kubernetes, Docker",Yes,Q1/2025,2.8,DevOps Automation,62.1,50,No,Yes,2,1,Medium,Yes
E0005,24,Male,Single,Master,Finance,Finance Manager,8/20/2020,5,6,Full-time,"Docker, GCP, Kubernetes, C#, Angular",Yes,Q1/2025,4.0,Mobile App Design,61.3,37,No,No,2,2,Medium,No
E0006,26,Male,Single,Bachelor,QA,QA Engineer,1/24/2016,9,12,Full-time,"Docker, Azure, Kubernetes, AWS, Angular",No,Q1/2025,5.0,Data Analytics Platform,54.3,26,No,No,1,3,Low,No
E0007,30,Male,Divorced,Master,Sales,Sales Executive,1/8/2011,14,15,Contractor,"GCP, AWS, Azure, React",Yes,Q1/2025,3.5,AI/ML Model Deployment,57.4,59,No,No,1,1,High,No
E0008,29,Female,Married,Bachelor,IT,DevOps Engineer,12/26/2014,11,11,Contractor,"SQL, Kubernetes",No,Q1/2025,3.4,Cloud Migration,66.8,35,No,Yes,5,2,Low,No
E0009,26,Female,Single,Bachelor,Finance,Finance Manager,1/31/2016,9,11,Full-time,"GCP, NoSQL, Vue.js, Kubernetes, AWS",Yes,Q1/2025,4.9,API Development,89.1,35,Yes,No,5,2,Medium,No
E0010,29,Male,Married,College,IT,Software Engineer,12/26/2020,5,8,Full-time,"Angular, GCP, Kubernetes",Yes,Q1/2025,4.3,Cybersecurity Implementation,91.9,26,No,No,4,2,Low,No
